"age","qx"
0,0.00612294301390648
1,0.000428382045356557
2,0.000274977704975754
3,0.000210584868909791
4,0.000157759539433755
5,0.000145108453580178
6,0.000127663763123564
7,0.000113604153739288
8,9.97673996607773e-05
9,8.67806593305431e-05
10,7.93844883446582e-05
11,8.59814317664132e-05
12,0.000116257113404572
13,0.000174561442690901
14,0.00025205418933183
15,0.00033349622390233
16,0.00041170499753207
17,0.000491604092530906
18,0.000573111756239086
19,0.000655359996017069
20,0.000743972952477634
21,0.000829012482427061
22,0.000892455049324781
23,0.000924879568628967
24,0.0009339620009996
25,0.000935856252908707
26,0.000942562648560852
27,0.000952860747929662
28,0.000971486151684076
29,0.000997871393337846
30,0.0010292362421751
31,0.00106276315636933
32,0.0010991602903232
33,0.00113748828880489
34,0.00118011049926281
35,0.00123469973914325
36,0.00130223075393587
37,0.00137746764812618
38,0.00146075861994177
39,0.00155714969150722
40,0.00166341383010149
41,0.00179262517485768
42,0.00196247105486691
43,0.00217734626494348
44,0.00242307339794934
45,0.00267578102648258
46,0.00293122767470777
47,0.00320537947118282
48,0.00350511632859707
49,0.00383016490377486
50,0.00417674565687776
51,0.00453472835943103
52,0.0049033579416573
53,0.00528363836929202
54,0.00568428682163358
55,0.00611741421744227
56,0.00658942107111216
57,0.00709469895809889
58,0.00762582337483764
59,0.00818044971674681
60,0.00876678619533777
61,0.00939701776951551
62,0.0100849336013198
63,0.0108626624569297
64,0.0117578161880374
65,0.0128096919506788
66,0.0140114054083824
67,0.0152898086234927
68,0.0166011322289705
69,0.0180045124143362
70,0.0195482764393091
71,0.0212944895029068
72,0.0232754275202751
73,0.0255280211567879
74,0.0280607081949711
75,0.0308196507394314
76,0.033775020390749
77,0.0372524373233318
78,0.0411359593272209
79,0.0454107485711575
80,0.0501462146639824
81,0.0554449185729027
82,0.0612724758684635
83,0.067764014005661
84,0.075817845761776
85,0.085318811237812
86,0.094974510371685
87,0.105524607002735
88,0.117006793618202
89,0.129450142383575
90,0.142872825264931
91,0.157279834151268
92,0.172660738229752
93,0.188987731933594
94,0.206214159727097
95,0.224273577332497
96,0.243079617619514
97,0.262526780366898
98,0.282492220401764
99,0.302838265895844
100,1
