title_cleaned,script_parser
austin_powers_international_man_of_mystery,parse_film_script_one
the_godfather,parse_film_script_one
the_godfather_part_ii,parse_film_script_one
the_godfather_part_iii,parse_film_script_one
star_wars_a_new_hope,parse_film_script_one
star_wars_the_empire_strikes_back,parse_film_script_one
star_wars_return_of_the_jedi,parse_film_script_one
chinatown,parse_film_script_one
the_green_mile,parse_film_script_one
12_years_a_slave,parse_film_script_one
reservoir_dogs,parse_film_script_one
dances_with_wolves,parse_film_script_one
django_unchained,parse_film_script_one
tombstone,parse_film_script_one
apocalypse_now,parse_film_script_one
2001_a_space_odyssey,parse_film_script_one
the_shining,parse_film_script_one
office_space,parse_film_script_one
